especie,fecha,latitude,longitude,coordenada_y,coordenada_x,huso
gaviota dominicana,2023-01-02T00:00:01Z,-29.23863535,-71.52106419,6762941,254973,19
gaviota dominicana,2023-01-18T00:00:02Z,-42,-74,5364337,597175,18
guanay,2022-12-22T00:00:03Z,-27.02115226,-70.80233525,7009944,321197,19
guanay,2023-02-03T00:00:04Z,-28.27344924,-71.17783689,6870582,286384,19
guanay,2023-02-20T00:00:05Z,-30.1957376,-71.42754439,6657034,266295,19
guanay,2023-02-23T00:00:06Z,-30.2962019,-71.53657075,6645667,256044,19
guanay,2023-03-11T00:00:07Z,-34,-72,6239182,234661,19
guanay,2023-03-12T00:00:08Z,-34,-72,6237098,233512,19
guanay,2023-03-12T00:00:09Z,-34,-72,6239182,234661,19
guanay,2023-03-15T00:00:10Z,-34,-72,6239182,234661,19
guanay,2023-03-22T00:00:11Z,-34,-72,6233036,232187,19
jote de cabeza colorada,2022-12-15T00:00:12Z,-22.72613807,-70.28546014,7486224,367992,19
jote de cabeza colorada,2022-12-17T00:00:13Z,-23.6424894,-70.39721775,7384657,357488,19
jote de cabeza colorada,2022-12-20T00:00:14Z,-23.6424894,-70.39721775,7384657,357488,19
jote de cabeza colorada,2022-12-31T00:00:15Z,-33.01429591,-71.53626744,6344270,263079,19
jote de cabeza colorada,2023-01-31T00:00:16Z,-33.95442508,-71.87126808,6239182,234661,19
jote de cabeza colorada,2023-03-25T00:00:17Z,-34,-72,6237098,233512,19
pelicano,2022-12-05T00:00:18Z,-20.22033056,-70.1498188,7763720,379885,19
pelicano,2022-12-05T00:00:19Z,-23.4688649,-70.47608114,7403802,349245,19
pelicano,2022-12-05T00:00:20Z,-23.50501613,-70.42558221,7399851,354443,19
pelicano,2022-12-06T00:00:21Z,-23.50501613,-70.42558221,7399851,354443,19
pelicano,2022-12-13T00:00:22Z,-27.10884842,-70.85154505,7000157,316457,19
pelicano,2022-12-25T00:00:23Z,-29.92610866,-71.27893496,6687219,280010,19
pelicano,2022-12-26T00:00:24Z,-30.1957376,-71.42754439,6657034,266295,19
pelicano,2022-12-28T00:00:25Z,-33.02966567,-71.58562533,6342453,258509,19
pelicano,2022-12-28T00:00:26Z,-33.28462029,-71.6545909,6314015,252783,19
pelicano,2023-01-01T00:00:27Z,-34.97975966,-72.18079859,6125570,757356,18
pelicano,2023-01-09T00:00:28Z,-35.33229492,-72.43519056,6087087,733119,18
pelicano,2023-01-20T00:00:29Z,-35.64349226,-72.60529187,6052951,716817,18
pelicano,2023-01-26T00:00:30Z,-36,-73,5971476,691313,18
pelicano,2023-01-27T00:00:31Z,-36,-73,5982461,696517,18
pelicano,2023-02-04T00:00:32Z,-36.80700431,-73.12962176,5924905,666847,18
pelicano,2023-02-11T00:00:33Z,-37.11586745,-73.15264992,5890677,664128,18
piquero,2022-12-07T00:00:34Z,-18.74990641,-70.33806026,7926315,358950,19
piquero,2022-12-10T00:00:35Z,-23.50245883,-70.42575054,7400134,354423,19
piquero,2022-12-16T00:00:36Z,-23.6424894,-70.39721775,7384657,357488,19
piquero,2023-01-03T00:00:37Z,-26.35151588,-70.63071696,7084359,337277,19
piquero,2023-01-31T00:00:38Z,-33.93967357,-71.85203929,6240868,236393,19
piquero,2023-03-13T00:00:39Z,-34,-72,6237098,233512,19
piquero,2023-03-17T00:00:40Z,-34,-72,6225552,228216,19
piquero,2023-03-22T00:00:41Z,-34,-72,6233036,232187,19
piquero,2023-03-24T00:00:42Z,-35,-72,6087087,733119,18
piquero,2023-03-31T00:00:43Z,-35,-72,6087087,733119,18
